Problem,OpBlocks,Num_Operators,fneCRMprod_convex_it,fneCRMprod_convex_elapsed,fneCimmino_convex_it,fneCimmino_convex_elapsed
Block=1_Prob=1_n=10_nsets=30,"Vector{T} where T[[1, 2, 3, 4], [5, 6, 7, 8, 9], [10, 11, 12], [13, 14, 15], [16, 17, 18], [19, 20, 21, 22, 23], [24, 25, 26, 27, 28], [29, 30]]",8,82,0.5520386070000001,2644,2.7328941385000003
Block=1_Prob=2_n=10_nsets=30,"Vector{T} where T[[1, 2, 3, 4], [5, 6, 7, 8, 9], [10, 11, 12], [13, 14, 15], [16, 17, 18], [19, 20, 21, 22, 23], [24, 25, 26, 27, 28], [29, 30]]",8,178,0.42445428100000004,1500,1.371359479
Block=1_Prob=3_n=10_nsets=30,"Vector{T} where T[[1, 2, 3, 4], [5, 6, 7, 8, 9], [10, 11, 12], [13, 14, 15], [16, 17, 18], [19, 20, 21, 22, 23], [24, 25, 26, 27, 28], [29, 30]]",8,118,0.3149296836875,750,3.051954949
Block=1_Prob=4_n=10_nsets=30,"Vector{T} where T[[1, 2, 3, 4], [5, 6, 7, 8, 9], [10, 11, 12], [13, 14, 15], [16, 17, 18], [19, 20, 21, 22, 23], [24, 25, 26, 27, 28], [29, 30]]",8,128,0.39360934315384616,968,1.5872074710000001
Block=1_Prob=5_n=10_nsets=30,"Vector{T} where T[[1, 2, 3, 4], [5, 6, 7, 8, 9], [10, 11, 12], [13, 14, 15], [16, 17, 18], [19, 20, 21, 22, 23], [24, 25, 26, 27, 28], [29, 30]]",8,110,0.26763352500000004,1944,1.0087387036666666
Block=1_Prob=6_n=10_nsets=30,"Vector{T} where T[[1, 2, 3, 4], [5, 6, 7, 8, 9], [10, 11, 12], [13, 14, 15], [16, 17, 18], [19, 20, 21, 22, 23], [24, 25, 26, 27, 28], [29, 30]]",8,88,0.3358524115333334,794,1.561265869
Block=1_Prob=7_n=10_nsets=30,"Vector{T} where T[[1, 2, 3, 4], [5, 6, 7, 8, 9], [10, 11, 12], [13, 14, 15], [16, 17, 18], [19, 20, 21, 22, 23], [24, 25, 26, 27, 28], [29, 30]]",8,70,0.34159423926666665,3534,6.275756218000001
Block=1_Prob=8_n=10_nsets=30,"Vector{T} where T[[1, 2, 3, 4], [5, 6, 7, 8, 9], [10, 11, 12], [13, 14, 15], [16, 17, 18], [19, 20, 21, 22, 23], [24, 25, 26, 27, 28], [29, 30]]",8,96,0.4465218948333333,1028,4.4729056685
Block=1_Prob=9_n=10_nsets=30,"Vector{T} where T[[1, 2, 3, 4], [5, 6, 7, 8, 9], [10, 11, 12], [13, 14, 15], [16, 17, 18], [19, 20, 21, 22, 23], [24, 25, 26, 27, 28], [29, 30]]",8,72,0.2671227722105263,306,1.4865303220000001
Block=1_Prob=10_n=10_nsets=30,"Vector{T} where T[[1, 2, 3, 4], [5, 6, 7, 8, 9], [10, 11, 12], [13, 14, 15], [16, 17, 18], [19, 20, 21, 22, 23], [24, 25, 26, 27, 28], [29, 30]]",8,174,0.3363920793529412,2472,1.3190435818000001
Block=2_Prob=1_n=10_nsets=30,"Vector{T} where T[[1, 2, 3, 4, 5], [6, 7, 8], [9, 10, 11, 12], [13, 14, 15, 16, 17], [18, 19, 20], [21, 22, 23, 24], [25, 26, 27], [28, 29, 30]]",8,52,0.43561616033333334,7944,1.5623662120000001
Block=2_Prob=2_n=10_nsets=30,"Vector{T} where T[[1, 2, 3, 4, 5], [6, 7, 8], [9, 10, 11, 12], [13, 14, 15, 16, 17], [18, 19, 20], [21, 22, 23, 24], [25, 26, 27], [28, 29, 30]]",8,88,0.3129325556875,1222,1.32142874525
Block=2_Prob=3_n=10_nsets=30,"Vector{T} where T[[1, 2, 3, 4, 5], [6, 7, 8], [9, 10, 11, 12], [13, 14, 15, 16, 17], [18, 19, 20], [21, 22, 23, 24], [25, 26, 27], [28, 29, 30]]",8,96,0.3719852625,3686,1.3719629262500002
Block=2_Prob=4_n=10_nsets=30,"Vector{T} where T[[1, 2, 3, 4, 5], [6, 7, 8], [9, 10, 11, 12], [13, 14, 15, 16, 17], [18, 19, 20], [21, 22, 23, 24], [25, 26, 27], [28, 29, 30]]",8,106,0.264701994,382,0.8706974273333334
Block=2_Prob=5_n=10_nsets=30,"Vector{T} where T[[1, 2, 3, 4, 5], [6, 7, 8], [9, 10, 11, 12], [13, 14, 15, 16, 17], [18, 19, 20], [21, 22, 23, 24], [25, 26, 27], [28, 29, 30]]",8,66,0.2851950995555556,712,1.7491518953333334
